c_g,pv,rho,c_b,scenario,trips,feasible,trucks,batteries,fuel_kwh,gen_cost,truck_cost,batt_cost,other_cost,total_cost,lp_obj,mip_obj,gap_pct,cg_s
100.0,1.0,1.75,36.0,vsp,60,True,18,0,28900.0,28900.0,810.0,0.0,0.0,29710.0,17710.0,17710.0,0.0,0.32
100.0,1.0,1.75,36.0,solar,60,True,30,0,29000.0,29000.0,1350.0,0.0,3.9,30353.9,30082.45,30353.9,0.894,0.65
100.0,1.0,1.75,36.0,v2g,60,True,30,1,28500.0,28500.0,1350.0,36.0,4.8,29890.8,29754.95,29890.8,0.455,0.94
100.0,1.0,1.75,51.0,vsp,60,True,18,0,28900.0,28900.0,810.0,0.0,0.0,29710.0,17710.0,17710.0,0.0,0.32
100.0,1.0,1.75,51.0,solar,60,True,30,0,29000.0,29000.0,1350.0,0.0,3.9,30353.9,30082.45,30353.9,0.894,0.65
100.0,1.0,1.75,51.0,v2g,60,True,31,1,28500.0,28500.0,1395.0,51.0,5.2,29951.2,29754.95,29951.2,0.655,0.98
100.0,2.0,0.5,26.0,vsp,60,True,18,0,27200.0,27200.0,810.0,0.0,0.0,28010.0,16010.0,16010.0,0.0,0.31
100.0,2.0,0.5,26.0,solar,60,True,38,0,24200.0,24200.0,1710.0,0.0,4.1,25914.1,25914.1,25914.1,-0.0,0.42
100.0,2.0,0.5,26.0,v2g,60,True,36,31,14600.0,14600.0,1620.0,806.0,9.0,17035.0,17034.95,17035.0,0.0,0.6
100.0,2.0,0.5,36.0,vsp,60,True,18,0,27200.0,27200.0,810.0,0.0,0.0,28010.0,16010.0,16010.0,0.0,0.31
100.0,2.0,0.5,36.0,solar,60,True,38,0,24200.0,24200.0,1710.0,0.0,4.1,25914.1,25914.1,25914.1,-0.0,0.42
100.0,2.0,0.5,36.0,v2g,60,True,36,31,14600.0,14600.0,1620.0,1116.0,9.0,17345.0,17344.95,17345.0,-0.0,0.56
100.0,2.0,0.5,51.0,vsp,60,True,18,0,27200.0,27200.0,810.0,0.0,0.0,28010.0,16010.0,16010.0,0.0,0.31
100.0,2.0,0.5,51.0,solar,60,True,38,0,24200.0,24200.0,1710.0,0.0,4.1,25914.1,25914.1,25914.1,-0.0,0.42
100.0,2.0,0.5,51.0,v2g,60,True,42,25,14600.0,14600.0,1890.0,1275.0,9.0,17774.0,17773.95,17774.0,-0.0,0.81
100.0,2.0,1.75,26.0,vsp,60,True,18,0,27200.0,27200.0,810.0,0.0,0.0,28010.0,16010.0,16010.0,0.0,0.31
100.0,2.0,1.75,26.0,solar,60,True,30,0,24200.0,24200.0,1350.0,0.0,4.1,25554.1,25554.05,25554.1,-0.0,0.37
100.0,2.0,1.75,26.0,v2g,60,True,31,19,13700.0,13700.0,1395.0,494.0,13.1,15602.1,15429.5,15602.1,1.106,0.73
100.0,2.0,1.75,36.0,vsp,60,True,18,0,27200.0,27200.0,810.0,0.0,0.0,28010.0,16010.0,16010.0,0.0,0.31
100.0,2.0,1.75,36.0,solar,60,True,30,0,24200.0,24200.0,1350.0,0.0,4.1,25554.1,25554.05,25554.1,-0.0,0.37
100.0,2.0,1.75,36.0,v2g,60,True,30,17,13800.0,13800.0,1350.0,612.0,10.9,15772.9,15609.5,15772.9,1.036,0.65
100.0,2.0,1.75,51.0,vsp,60,True,18,0,27200.0,27200.0,810.0,0.0,0.0,28010.0,16010.0,16010.0,0.0,0.31
100.0,2.0,1.75,51.0,solar,60,True,30,0,24200.0,24200.0,1350.0,0.0,4.1,25554.1,25554.05,25554.1,-0.0,0.37
100.0,2.0,1.75,51.0,v2g,60,True,32,15,13700.0,13700.0,1440.0,765.0,11.3,15916.3,15867.5,15916.3,0.306,0.82
100.0,3.0,0.5,26.0,vsp,60,True,18,0,26700.0,26700.0,810.0,0.0,0.0,27510.0,15510.0,15510.0,0.0,0.31
