delta
Days,Time,Power (MW),PV(MW),Solar,Delta,Delta_int
3/19/17,08:30,8.26733226188665,0.44589586473152,3.12127105312064,5.14606120876601,5
3/19/17,08:45,7.68213457964588,0.44589586473152,3.12127105312064,4.56086352652524,5
3/19/17,09:00,8.01135795342771,0.44589586473152,3.12127105312064,4.89008690030707,5
3/19/17,09:15,8.1294017830762,0.44589586473152,3.12127105312064,5.00813072995556,5
3/19/17,09:30,8.18667411649986,0.860107195311482,6.02075036718037,2.16592374931949,2
3/19/17,09:45,8.2468696983937,0.860107195311482,6.02075036718037,2.22611933121333,2
3/19/17,10:00,9.30964447255534,0.860107195311482,6.02075036718037,3.28889410537497,3
3/19/17,10:15,9.97594076005356,0.860107195311482,6.02075036718037,3.95519039287319,4
3/19/17,10:30,10.3578953571519,1.94345068661055,13.6041548062739,-3.246259449122,-3
3/19/17,10:45,10.4000903009282,1.94345068661055,13.6041548062739,-3.2040645053457,-3
3/19/17,11:00,10.0960989563104,1.94345068661055,13.6041548062739,-3.5080558499635,-4
3/19/17,11:15,9.85741111296224,1.94345068661055,13.6041548062739,-3.74674369331166,-4
3/19/17,11:30,10.1161892579208,2.44808389715145,17.1365872800602,-7.0203980221394,-7
3/19/17,11:45,10.2126507456169,2.44808389715145,17.1365872800602,-6.9239365344433,-7
3/19/17,12:00,10.5089185245339,2.44808389715145,17.1365872800602,-6.6276687555263,-7
3/19/17,12:15,10.4554559260887,2.44808389715145,17.1365872800602,-6.6811313539715,-7
3/19/17,12:30,10.1964613501355,4.04323612299585,28.302652860971,-18.1061915108355,-18
3/19/17,12:45,9.88589618584826,4.04323612299585,28.302652860971,-18.4167566751227,-18
3/19/17,13:00,9.86079196913227,4.04323612299585,28.302652860971,-18.4418608918387,-18
3/19/17,13:15,9.7346651930828,4.04323612299585,28.302652860971,-18.5679876678882,-19
3/19/17,13:30,9.64848877311584,2.0813605718476,14.5695240029332,-4.92103522981736,-5
3/19/17,13:45,9.42562193184136,2.0813605718476,14.5695240029332,-5.14390207109184,-5
3/19/17,14:00,9.52565396782327,2.0813605718476,14.5695240029332,-5.04387003510993,-5
3/19/17,14:15,9.43417952070581,2.0813605718476,14.5695240029332,-5.13534448222739,-5
3/19/17,14:30,9.35617867892178,3.20225147938797,22.4157603557158,-13.059581676794,-13
3/19/17,14:45,9.17483125233527,3.20225147938797,22.4157603557158,-13.2409291033805,-13
3/19/17,15:00,9.02023551728288,3.20225147938797,22.4157603557158,-13.3955248384329,-13
3/19/17,15:15,8.90006844089869,3.20225147938797,22.4157603557158,-13.5156919148171,-14
3/19/17,15:30,8.82752114710185,2.87105730837258,20.0974011586081,-11.2698800115063,-11
3/19/17,15:45,8.92310889768884,2.87105730837258,20.0974011586081,-11.1742922609193,-11
3/19/17,16:00,8.92679756517841,2.87105730837258,20.0974011586081,-11.1706035934297,-11
3/19/17,16:15,8.93746292368392,2.87105730837258,20.0974011586081,-11.1599382349242,-11
3/19/17,16:30,8.67024780071075,1.93564891920087,13.5495424344061,-4.87929463369535,-5
3/19/17,16:45,8.56265698431381,1.93564891920087,13.5495424344061,-4.98688545009229,-5
3/19/17,17:00,8.35884212293796,1.93564891920087,13.5495424344061,-5.19070031146814,-5
3/19/17,17:15,8.3148243533546,1.93564891920087,13.5495424344061,-5.2347180810515,-5
3/19/17,17:30,8.31490625944151,0.896578239343614,6.2760476754053,2.03885858403621,2
3/19/17,17:45,8.13978731384713,0.896578239343614,6.2760476754053,1.86373963844183,2
3/19/17,18:00,8.16068973976069,0.896578239343614,6.2760476754053,1.88464206435539,2
3/19/17,18:15,8.14585944051943,0.896578239343614,6.2760476754053,1.86981176511413,2
3/19/17,18:30,12.5823810343085,0.101628936450091,0.711402555150637,11.8709784791579,12
3/19/17,18:45,16.5465692457391,0.101628936450091,0.711402555150637,15.8351666905885,16
3/19/17,19:00,19.8334290766454,0.101628936450091,0.711402555150637,19.1220265214948,19
3/19/17,19:15,16.6939757890093,0.101628936450091,0.711402555150637,15.9825732338587,16
