"# hourly global horizontal irradiance (W/m2), Abu Dhabi area (Gulf desert) (24.45N 54.4E), 2023"
"# source: Open-Meteo ERA5 archive (open-meteo.com), CC-BY 4.0; local time Asia/Dubai"
date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-07-04,0.0,0.0,0.0,0.0,0.0,0.0,3.0,83.0,243.0,436.0,630.0,777.0,865.0,896.0,860.0,767.0,617.0,429.0,233.0,69.0,1.0,0.0,0.0,0.0
2023-07-05,0.0,0.0,0.0,0.0,0.0,0.0,3.0,82.0,252.0,452.0,638.0,788.0,883.0,914.0,877.0,777.0,624.0,435.0,235.0,70.0,1.0,0.0,0.0,0.0
2023-07-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,79.0,253.0,410.0,567.0,775.0,874.0,905.0,874.0,774.0,619.0,431.0,232.0,69.0,1.0,0.0,0.0,0.0
2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,78.0,236.0,392.0,570.0,740.0,839.0,880.0,845.0,753.0,605.0,415.0,223.0,67.0,1.0,0.0,0.0,0.0
2023-07-08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,234.0,427.0,584.0,739.0,864.0,896.0,857.0,761.0,614.0,428.0,232.0,69.0,1.0,0.0,0.0,0.0
2023-07-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,74.0,229.0,445.0,631.0,779.0,877.0,909.0,873.0,770.0,618.0,428.0,231.0,68.0,1.0,0.0,0.0,0.0
2023-07-10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,74.0,240.0,435.0,622.0,771.0,865.0,895.0,859.0,760.0,608.0,426.0,230.0,68.0,1.0,0.0,0.0,0.0
2023-07-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,238.0,432.0,600.0,728.0,549.0,598.0,822.0,767.0,606.0,423.0,228.0,67.0,1.0,0.0,0.0,0.0
2023-07-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,243.0,441.0,626.0,774.0,868.0,897.0,860.0,760.0,608.0,420.0,223.0,66.0,1.0,0.0,0.0,0.0
2023-07-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,202.0,429.0,612.0,758.0,852.0,879.0,831.0,734.0,595.0,400.0,220.0,65.0,1.0,0.0,0.0,0.0
2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,232.0,426.0,609.0,755.0,852.0,883.0,859.0,756.0,596.0,414.0,223.0,65.0,1.0,0.0,0.0,0.0
2023-07-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,232.0,426.0,609.0,758.0,853.0,886.0,851.0,755.0,579.0,413.0,221.0,64.0,1.0,0.0,0.0,0.0
2023-07-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,228.0,422.0,607.0,756.0,852.0,885.0,850.0,752.0,604.0,420.0,223.0,64.0,1.0,0.0,0.0,0.0
2023-07-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,229.0,428.0,617.0,767.0,862.0,889.0,858.0,762.0,613.0,423.0,226.0,65.0,1.0,0.0,0.0,0.0
2023-07-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,232.0,430.0,617.0,768.0,862.0,893.0,858.0,761.0,614.0,421.0,225.0,65.0,1.0,0.0,0.0,0.0
2023-07-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,232.0,429.0,616.0,765.0,857.0,885.0,848.0,755.0,609.0,420.0,225.0,64.0,1.0,0.0,0.0,0.0
2023-07-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,234.0,435.0,627.0,778.0,877.0,910.0,875.0,774.0,621.0,427.0,227.0,64.0,1.0,0.0,0.0,0.0
2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,228.0,423.0,614.0,769.0,860.0,868.0,845.0,758.0,599.0,418.0,222.0,63.0,1.0,0.0,0.0,0.0
2023-07-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,189.0,404.0,585.0,753.0,849.0,882.0,848.0,743.0,588.0,413.0,219.0,61.0,0.0,0.0,0.0,0.0
